Title ,ROM,Year,Manufacturer,MAME Set,
Aero Fighters (World / USA + Canada / Korea / Hong Kong / Taiwan) (newer hardware),aerofgt,1992,Video System Co.,Merged,
Aero Fighters 2 / Sonic Wings 2,sonicwi2,1994,Video System Co.,Merged,
Aero Fighters 3 / Sonic Wings 3,sonicwi3,1995,Video System Co.,Merged,
Aero Fighters Special (USA),aerofgts,1996,"McO'River, Inc.",Merged,
Af-Tor,aftor,1984,Wico,Merged,
"African Adventure (Konami Endeavour, Russia)",aadvent,200?,Konami,Merged,
"African Dusk - Mr. Cashman (20006711, NSW/ACT)",aduskcm,2001,Aristocrat,Merged,
After Burner,aburner,1987,Sega,Merged,
"After Burner (Mega-Tech, SMS based)",mt_aftrb,1987,Sega,Merged,
After Burner Climax (Export),abclimax,2006,Sega,Merged,
After Burner II,aburner2,1987,Sega,Merged,
"After Hours (0251071, US)",afterhrs,2004,Aristocrat,Merged,
"Aftershock (Barcrest - Red Gaming) (MPU5, v1.2)",m5ashock,199?,Barcrest / Red Gaming,Merged,
"Aftershock (Lazer-Tron, set 1)",aftrshok,19??,Lazer-Tron,Merged,
AGA,isa_aga,,,Merged,
AGA PC200,isa_aga_pc200,,,Merged,
Against All Odds (Eurotek) (MPU4),m4aao,1999,DJE / Eurotek,Merged,
Agat 840K floppy card,agat840k_hle,,,Merged,
Agat 840K floppy controller card,agat_fdc,,,Merged,
Agat-7 140K floppy card,agat7_flop,,,Merged,
Agat-9 140K floppy card,agat9_flop,,,Merged,
Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07),aoh,2001,Unico,Merged,
"Agent Super Bond (Super Cobra conversion, encrypted)",superbon,1985,Signatron USA,Merged,
Agents 777,agent777,1984,Game Plan,Merged,
Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008),aodk,1994,ADK / SNK,Merged,
Agress - Missile Daisenryaku (Japan),agress,1991,Palco,Merged,
AgVision,agvision,1979,Elanco,Merged,
Ah Eikou no Koshien (Japan),koshien,1990,Taito Corporation,Merged,
AHA-1542A SCSI Controller,aha1542a,,,Merged,
AHA-1542B SCSI Controller,aha1542b,,,Merged,
AHA-1542C SCSI Controller,aha1542c,,,Merged,
AHA-1542CF SCSI Controller,aha1542cf,,,Merged,
AHA-1542CP SCSI Controller,aha1542cp,,,Merged,
