Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,"Slam City with Scottie Pippen (USA, Brazil) (Disc 2) (Juice) (RE-1)",Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
Redump,"Slam City with Scottie Pippen (USA, Brazil) (Disc 3) (Mad Dog) (RE-1)",Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
Redump,"Slam City with Scottie Pippen (USA, Brazil) (Disc 4) (Smash)",Slam City with Scottie Pippen,Slam City with Scottie Pippen,T-162035,1994.NOV,SEGA GENESIS,(C)T-162,GM,0,J,U
Redump,"Smurfs, The (Europe) (En,Fr,De,Es,It)",SMURFS,SMURFS,T-151015,1994.DEC,SEGA GENESIS,(C)T-151,GM,0,J,U
Redump,Snatcher (Europe),SNATCHER,SNATCHER,T-95035,1994.NOV,SEGA MEGA DRIVE,(C)T-95,GM,0,J,J
Redump,Snatcher (USA),SNATCHER,SNATCHER,T-95035,1994.OCT,SEGA GENESIS,(C)T-95,GM,0,J,J
Redump,"Software Toolworks' Star Wars Chess, The (Europe)",SEGA CD BEEF BOOT   SYSTEM BOO,SOFTWARE TOOLWORKS PRESENTS ST,T-158025,1994.JUN,SEGA MEGA DRIVE,(C)T-158,GM,0,J,E
Redump,"Software Toolworks' Star Wars Chess, The (USA)",SEGA CD BEEF BOOT   SYSTEM BOO,SOFTWARE TOOLWORKS PRESENTS ST,T-87035,1994.JUN,SEGA GENESIS,(C)T-87,GM,0,J,U
Redump,"Software Toolworks' Star Wars Chess, The (USA) (Alt)",SEGA CD BEEF BOOT   SYSTEM BOO,SOFTWARE TOOLWORKS PRESENTS ST,T-87035,1994.JUN,SEGA GENESIS,(C)T-87,GM,0,J,U
Redump,Sol-Feace (Europe),SOL-FEACE,SOL-FEACE,MK-4404,1992.OCT,SEGA MEGA DRIVE,(C)T-32,GM,,J,U
Redump,Sol-Feace (Europe) (Alt),SOL-FEACE,SOL-FEACE,MK-4404,1992.OCT,SEGA MEGA DRIVE,(C)T-32,GM,,J,U
Redump,Sol-Feace (Japan),ソルフィース,SOL-FEACE,T-32024,1991.DEC,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J
Redump,Sol-Feace (USA) (RE),SOL-FEACE,SOL-FEACE,MK-4404,1992.OCT,SEGA MEGA DRIVE,(C)T-32,GM,,J,U
Redump,Sol-Feace (USA) (RE2),SOL-FEACE,SOL-FEACE,MK-4404,1992.OCT,SEGA MEGA DRIVE,(C)T-32,GM,,J,U
Redump,Sonic CD (Europe),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,MK-4407,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,Sonic CD (USA),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,MK-4407,1993.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sonic CD (USA) (Alt),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,MK-4407,1993.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sonic CD (USA) (RE125),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,MK-4407,1993.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sonic CD (USA) (RE125) (Alt 1),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,MK-4407,1993.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sonic CD (USA) (RE125) (Alt 2),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,MK-4407,1993.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Sonic the Hedgehog CD (Japan),SONIC THE HEDGEHOG-CD,SONIC THE HEDGEHOG-CD,G-6021,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,"SoulStar (Europe) (En,Fr,De)",SOULSTAR,SOULSTAR,T-115035,1994.OCT,SEGA MEGA DRIVE,(C)T-60,GM,0,J6,E
Redump,SoulStar (Japan),SOULSTAR,SOULSTAR,T-60184,1994.DEC,SEGA MEGA DRIVE,(C)T-60,GM,0,J6,J
