Release Type,Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
Redump,Burning Rangers (Japan) (Beta) (1997-12-01),BURNING RANGERS,GS-XXXX,V0.010,SEGA SEGASATURN,SEGA ENTERPRISES,19970801,CD-1/1,J,JTU
Redump,Burning Rangers (Japan) (Demo),BURNING RANGERS  TRIAL VERSION,6106856,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19980105,CD-1/1,JE,J
Redump,Burning Rangers (Japan),BURNING RANGERS,GS-9174,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19980127,CD-1/1,JE,JT
Redump,Burning Rangers (USA),BURNING RANGERS,MK-81803,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19980506,CD-1/1,JE,U
Redump,Can Can Bunny Extra (Japan),CANCANBUNNYEXTRA,T-19706G,V1.000,SEGA SEGASATURN,SEGA TP T-197,19970801,CD-1/1,JME,J
Redump,Can Can Bunny Premiere 2 (Japan) (Disc 1) (Rev A),CAN CAN BUNNY PREMIERE 2,T-19703G,V1.004,SEGA SEGASATURN,SEGA TP T-197,19961115,CD-1/2,JME,J
Redump,Can Can Bunny Premiere 2 (Japan) (Disc 1),CAN CAN BUNNY PREMIERE 2,T-19703G,V1.002,SEGA SEGASATURN,SEGA TP T-197,19961107,CD-1/2,JME,J
Redump,Can Can Bunny Premiere 2 (Japan) (Disc 2) (Can Bani Himekuri Calendar) (Hibaihin),CAN CAN BUNNY PREMIERE 2,T-19702G,V1.000,SEGA SEGASATURN,SEGA TP T-197,19961013,CD-2/2,JM,J
Redump,Can Can Bunny Premiere 2 (Japan) (Disc 2) (Can Bani Himekuri Calendar),CAN CAN BUNNY PREMIERE 2,T-19703G,V1.002,SEGA SEGASATURN,SEGA TP T-197,19961107,CD-2/2,JME,J
Redump,Capcom Generation - Dai-1-shuu Gekitsuiou no Jidai (Japan),CAPCOM GENERATION VOL.1,T-1232G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19980627,CD-1/1,J,J
Redump,Capcom Generation - Dai-2-shuu Makai to Kishi (Japan),CAPCOM GENERATION VOL.2,T-1233G,V1.003,SEGA SEGASATURN,SEGA TP T-12,19980824,CD-1/1,J,J
Redump,Capcom Generation - Dai-5-shuu Kakutouka-tachi (Japan),CAPCOM GENERATION VOL.5,T-1236G,V1.000,SEGA SEGASATURN,SEGA TP T-12,19981007,CD-1/1,J,J
Redump,"Casper (Europe) (En,Fr,De)",CASPER,12512H-50,V1.003,SEGA SEGASATURN,SEGA TP T-125,19960610,CD-1/1,JA,E
Redump,Casper (Japan),CASPER,T-12503G,V1.001,SEGA SEGASATURN,SEGA TP T-125,19970313,CD-1/1,J,J
Redump,Casper (USA),CASPER,12512H,V1.003,SEGA SEGASATURN,SEGA TP T-125,19960610,CD-1/1,JA,U
Redump,Cat the Ripper - 13Ninme no Tanteishi (Japan),CAT THE RIPPER,T-35701G,V1.000,SEGA SEGASATURN,SEGA TP T-357,19970520,CD-1/1,JM,J
Redump,Center Ring Boxing (USA),THE KING OF BOXING/CENTER RING BOXING,T-6005H,V1.02U,SEGA SEGASATURN,SEGA TP T-60,19950929,CD-1/1,J,U
Redump,"Chaos Control (Europe) (En,Fr,De) (Beta) (1996-05-29)",CHAOS CONTROL,T-15102H,V1.200,SEGA SEGASATURN,SEGA TP T-151,19960529,CD-1/1,JMG,E
Redump,"Chaos Control (Europe) (En,Fr,De)",CHAOS CONTROL,T-15102H,V1.100,SEGA SEGASATURN,SEGA TP T-151,19960507,CD-1/1,JMG,E
Redump,Chaos Control (Japan),CHAOS CONTROL,T-7002G,V1.000,SEGA SEGASATURN,SEGA TP T-70,19951101,CD-1/1,JM,JT
Redump,Chaos Control Remix (Japan),CHAOS CONTROL,T-7006G,V1.000,SEGA SEGASATURN,SEGA TP T-700,19960726,CD-1/1,JMG,J
Redump,Chisato Moritaka - Watarase Bashi & Lala Sunshine (Japan) (Disc 1),WATARASE BASHI/ LALA SUNSHINE,GS-9172,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19970801,CD-1/2,JP,J
Redump,Chisato Moritaka - Watarase Bashi & Lala Sunshine (Japan) (Disc 2),WATARASE BASHI/ LALA SUNSHINE,GS-9172,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19970801,CD-2/2,JP,J
Redump,Chou Jikuu Yousai Macross - Ai Oboete Imasu ka (Japan) (Disc 1),MACROSS,T-23403G,V1.000,SEGA SEGASATURN,SEGA TP T-234,19970428,CD-1/2,J,J
Redump,Chou Jikuu Yousai Macross - Ai Oboete Imasu ka (Japan) (Disc 2),MACROSS,T-23403G,V1.000,SEGA SEGASATURN,SEGA TP T-234,19970428,CD-2/2,J,J
